WORLD PRODUCTION 8 WEEK CHECKLIST,,,,
,,,,
,Week 1,,,
,,Monday,Define overall story for the World,X
,,Tuesday,"Design rough idea of enemies, including elite(s) and boss (3-4 standard, 1-2 elite, 1 boss)",X
,,Wednesday,Roughly design the main gameplay gimmick of the World,
,,,"Identify any new engine/UI/system requirements for this world (new events, UI hooks, combat tags, validators)",
,,Thursday,Define hubs,
,,,"Define story entry, climax, and exit for each hub",
,,Friday,Define nodes and what happens in each,
,,,Draft 'World Done Definition' checklist (binary ship criteria),
,,,GATE: Week 1 — story + hubs + nodes coherent; major beats defined; no obvious story holes,
,,,,
,Week 2,,,
,,Monday,Define the main and side quests,
,,,Outline progression & reward pacing (XP/currency/loot/shops/skill timing),
,,Tuesday,"Define events, puzzles and unique actionable words",
,,,"Plan encounters per node (enemy comps, elite cadence, boss runway, ambush rules)",
,,,"Define fail states & recovery rules (defeat, key items, bricked quests, repeat triggers)",
,,Wednesday,Define the room maps of each node (draw the map on Mobiscribe),
,,Thursday,^ continued,
,,Friday,Define rooms where events and puzzles take place,
,,,GATE: Week 2 — hubs/nodes/quests/events mapped to rooms; no contradictions/unreachable critical path,
,,,,
,Week 3,,,
,,Monday,Generate rough room descriptions for each room,
,,Tuesday,"Refine enemies, including elite(s) and boss",
,,,Define NPCs,
,,Wednesday,Design items and equipment,
,,,Design mods,
,,Thursday,Design skills learned,
,,Friday,Design and define inventories of shops,
,,,"Add all enemies including elites and boss, NPCs, items, equipment, skills, mods, and shops to JSON",
,,,"Run JSON schema/validator; fix missing refs, duplicate IDs, broken exits; generate report",
,,,Define save/load persistence flags for quests/events/shops (what must be stored),
,,,GATE: Week 3 — JSON validates & loads; world skeleton playable (no broken refs/exits),
,,,,
,Week 4,,,
,,Monday,"Generate hub screen art for all hubs, generate room background images",
,,Tuesday,Generate room background images,
,,Wednesday,^ continued,
,,Thursday,"Generate enemy, elite and boss art",
,,Friday,Create any new animations,
,,,Performance/memory budget check; optimize/export assets for mobile,
,,,,
,Week 5,,,
,,Monday,Roughly design cutscenes and note their place in the story,
,,Tuesday,Fully design the main gameplay gimmick,
,,Wednesday,^ continued,
,,Thursday,Place rooms in World Editor with their descriptions to build rooms.json,
,,,Integration pass: wire new world gimmick + event types into engine/UI (placeholder OK),
,,Friday,Place NPCs,
,,,GATE: Week 5 — start→main quest complete→exit playable with placeholder text,
,,,,
,Week 6,,,
,,Monday,Build QUESTS with filler dialogue,
,,Tuesday,Build CUTSCENES with filler text/dialogue,
,,Wednesday,"Build EVENTS, PUZZLES, and MAIN GIMMICK with filler text",
,,Thursday,^ continued,
,,Friday,Build SHOPS and OTHER with filler text,
,,,"Save/load torture test + state consistency (quest flags, shop state, event triggers)",
,,,,
,Week 7,,,
,,Monday,Write completed game prose for ROOM DESCRIPTIONS,
,,Tuesday,Write completed game prose for TUTORIALS,
,,,Audit tutorial & narrative popup triggers (exactly once unless intended),
,,Wednesday,Write completed game prose for QUEST DIALOGUE,
,,,Write completed game prose for NARRATIVE POPUPS,
,,Thursday,Write completed game prose for CUTSCENES,
,,Friday,Write completed game prose for MISCELLANEOUS DIALOGUE (dialogue not related to quests),
,,,Write completed game prose for ITEM AND SKILL DESCRIPTIONS,
,,,"Quick UX/accessibility pass: text size, tap targets, contrast, animation toggles",
,,,,
,Week 8,,,
,,Monday,Implement completed game prose (all text assets),
,,,"Integration + regression suite (smoke tests: start, combat, shop, quest turn-in, exit)",
,,,"Save/load sanity check (hub, node, combat start/end, mid-quest)",
,,Tuesday,"Balance pass (combat, economy, rewards, cooldown/weakness tempo)",
,,Wednesday,Softlock hunt + save/load stress test (fresh save → world exit),
,,Thursday,Performance + UX/accessibility pass + implement core audio cues,
,,Friday,Plan next world + postmortem + bug triage/backlog,
